,Unnamed: 0,index,Title,Director,Cast,Genre,comb
4645,4645,4645,Railway Platform,['Ramesh Saigal'],Nalini Jaywant|Sheila Ramani|Johnny Walker|Sunil Dutt|Manmohan Krishna|Leela Mishra|Raj Mehra|Nishi|Renu Maker|Shukla|Sheela R.|Jagdeep|Tun Tun|Nana Palsikar|,Comedy|Drama|Romance,Ramesh Saigal ComedyDramaRomance Nalini JaywantSheila RamaniJohnny WalkerSunil DuttManmohan KrishnaLeela MishraRaj MehraNishiRenu MakerShuklaSheela RJagdeepTun TunNana Palsikar Railway Platform
4646,4646,4646,Sardar,['Ketan Mehta'],Ashok Kumar|Bina Rai|Jagdish Sethi|,\N,Ketan Mehta N Ashok KumarBina RaiJagdish Sethi Sardar
4647,4647,4647,Swami Vivekananda,['Amar Mullick'],Ajit Prakash|Bharati Devi|Anubha Gupta|,Biography,Amar Mullick Biography Ajit PrakashBharati DeviAnubha Gupta Swami Vivekananda
4648,4648,4648,Pyaara Dushman,['Anand Sagar'],Paidi Jairaj|Kumkum|Sulochana Latkar|Nadira|,\N,Anand Sagar N Paidi JairajKumkumSulochana LatkarNadira Pyaara Dushman
4649,4649,4649,Shiv Bhakta,['H.L.N. Simha'],Anand Kumar|Shahu Modak|Padmini|,Drama,HLN Simha Drama Anand KumarShahu ModakPadmini Shiv Bhakta
4650,4650,4650,Tangewali,['Lekhraj Bhakri'],Shammi Kapoor|Balraj Sahni|Anita Guha|Jayant|Gope|,Drama|Family,Lekhraj Bhakri DramaFamily Shammi KapoorBalraj SahniAnita GuhaJayantGope Tangewali
4651,4651,4651,Taxi Driver,['Martin Scorsese'],Dev Anand|Kalpana Kartik|Sheila Ramani|Johnny Walker|Bhagwan Sinha|Patanjal|Shujju|Kamal Singh|Vernon Corke|Krishan Dhawan|Rashid Khan|M.A. Latif|Parveen Kaul|,Musical|Romance,Martin Scorsese MusicalRomance Dev AnandKalpana KartikSheila RamaniJohnny WalkerBhagwan SinhaPatanjalShujjuKamal SinghVernon CorkeKrishan DhawanRashid KhanMA LatifParveen Kaul Taxi Driver
4652,4652,4652,Nastik,['Pramod Chakravorty'],Nalini Jaywant|Ajit|Ulhas|I.S. Johar|Raj Mehra|Leela Mishra|Roopmala|Mumtaz Begum|Shreenath|Rajan Haksar|Mehmood|,Comedy|Crime|Drama,Pramod Chakravorty ComedyCrimeDrama Nalini JaywantAjitUlhasIS JoharRaj MehraLeela MishraRoopmalaMumtaz BegumShreenathRajan HaksarMehmood Nastik
4653,4653,4653,Yasmin,['Kenneth Glenaan'],Suresh|Vyjayanthimala|Jayant|Rashid Khan|Maruti|S.N. Banerjee|Shyam Kumar|Mumtaz Begum|Rajan Haksar|Amrit Rana|Habib|Wahidan|M.A. Khan|Akbar Bakshi|,Musical|Romance,Kenneth Glenaan MusicalRomance SureshVyjayanthimalaJayantRashid KhanMarutiSN BanerjeeShyam KumarMumtaz BegumRajan HaksarAmrit RanaHabibWahidanMA KhanAkbar Bakshi Yasmin
4654,4654,4654,Jagriti,['Satyen Bose'],Abhi Bhattacharya|Pranoti Ghosh|Bipin Gupta|Mumtaz Begum|Raj Kumar Gupta|Rattan Kumar|Chandan Kumar|Dilip|Raja|Mohan Choti|Ghanshyam|Navneet|Girish|Padmakar|,Comedy|Drama|Family,Satyen Bose ComedyDramaFamily Abhi BhattacharyaPranoti GhoshBipin GuptaMumtaz BegumRaj Kumar GuptaRattan KumarChandan KumarDilipRajaMohan ChotiGhanshyamNavneetGirishPadmakar Jagriti
4655,4655,4655,Jagriti,['Satyen Bose'],Abhi Bhattacharya|Pranoti Ghosh|Bipin Gupta|Mumtaz Begum|Raj Kumar Gupta|Rattan Kumar|Chandan Kumar|Dilip|Raja|Mohan Choti|Ghanshyam|Navneet|Girish|Padmakar|,Comedy|Drama|Family,Satyen Bose ComedyDramaFamily Abhi BhattacharyaPranoti GhoshBipin GuptaMumtaz BegumRaj Kumar GuptaRattan KumarChandan KumarDilipRajaMohan ChotiGhanshyamNavneetGirishPadmakar Jagriti
4656,4656,4656,Aar-Paar,['Guru Dutt'],Shyama|Guru Dutt|Jagdish Sethi|Johnny Walker|Jagdeep|Shakila|Bir Sakuja|Rajendra|Amir Banu|Rashid Khan|,Musical|Romance|Thriller,Guru Dutt MusicalRomanceThriller ShyamaGuru DuttJagdish SethiJohnny WalkerJagdeepShakilaBir SakujaRajendraAmir BanuRashid Khan AarPaar
4657,4657,4657,Angarey,['K.B. Lall'],Jeevan|Nasir Khan|Nanda|Nargis|Pran|,Drama,KB Lall Drama JeevanNasir KhanNandaNargisPran Angarey
4658,4658,4658,Adhikar,['S.M. Sagar'],Usha Kiran|Kishore Kumar|Yashodra Katju|Niroo|Balam|Renu Bala|Rup Mati|Kamal|Daya Devi|Noor|Narbada Shankar|Baby Shashi|,Comedy|Drama|Romance,SM Sagar ComedyDramaRomance Usha KiranKishore KumarYashodra KatjuNirooBalamRenu BalaRup MatiKamalDaya DeviNoorNarbada ShankarBaby Shashi Adhikar
4659,4659,4659,Amar,['Esteban Crespo'],Madhubala|Nimmi|Dilip Kumar|Jayant|Ulhas|Mukri|Husn Banu|Amar|Siddiqui|Murad|Pandey|Haroon|Agha Miraz|Shakeel Nomani|,Drama|Musical|Romance,Esteban Crespo DramaMusicalRomance MadhubalaNimmiDilip KumarJayantUlhasMukriHusn BanuAmarSiddiquiMuradPandeyHaroonAgha MirazShakeel Nomani Amar
4660,4660,4660,Boot Polish,['Prakash Arora'],Kumari Naaz|Rattan Kumar|David Abraham|Chand Burke|Veera|Bhupendra Kapoor|Shailendra|Mohanbali|Nissar|Bhudo Advani|,Comedy|Drama|Family,Prakash Arora ComedyDramaFamily Kumari NaazRattan KumarDavid AbrahamChand BurkeVeeraBhupendra KapoorShailendraMohanbaliNissarBhudo Advani Boot Polish
4661,4661,4661,Boot Polish,['Prakash Arora'],Kumari Naaz|Rattan Kumar|David Abraham|Chand Burke|Veera|Bhupendra Kapoor|Shailendra|Mohanbali|Nissar|Bhudo Advani|,Comedy|Drama|Family,Prakash Arora ComedyDramaFamily Kumari NaazRattan KumarDavid AbrahamChand BurkeVeeraBhupendra KapoorShailendraMohanbaliNissarBhudo Advani Boot Polish
4662,4662,4662,Aulad,['Vijay Sadanah'],Arun|Usha Kiran|Lalita Kumari|Radhakrishan|Nirupa Roy|,Drama|Family,Vijay Sadanah DramaFamily ArunUsha KiranLalita KumariRadhakrishanNirupa Roy Aulad
4663,4663,4663,Baadbaan,['Phani Majumdar'],Dev Anand|Meena Kumari|Ashok Kumar|Usha Kiran|Mehmood|Gope|Bipin Gupta|Leela Chitnis|Paidi Jairaj|Shivraj|Sheikh Mukhtar|,Drama|Family,Phani Majumdar DramaFamily Dev AnandMeena KumariAshok KumarUsha KiranMehmoodGopeBipin GuptaLeela ChitnisPaidi JairajShivrajSheikh Mukhtar Baadbaan
4664,4664,4664,Baap Beti,['Bimal Roy'],Sunalini Devi|Dolly|Nasir Hussain|Nalini Jaywant|Nana Palsikar|Asha Parekh|Mridula Rani|Ranjan|Baby Sabita|,Drama,Bimal Roy Drama Sunalini DeviDollyNasir HussainNalini JaywantNana PalsikarAsha ParekhMridula RaniRanjanBaby Sabita Baap Beti
4665,4665,4665,Badshah,['Amiya Chakrabarty'],Pradeep Kumar|Mala Sinha|Usha Kiran|K.N. Singh|Ulhas|Agha|Achala Sachdev|,Action|Adventure|Drama,Amiya Chakrabarty ActionAdventureDrama Pradeep KumarMala SinhaUsha KiranKN SinghUlhasAghaAchala Sachdev Badshah
